year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
2009,ON,Ontario,9.2,6444.7,67.1,17.1,7.9
2009,PE,Prince Edward Island,12.0,68.5,67.9,17.6,10.6
2009,QC,Quebec,8.8,3854.5,65.3,15.0,7.5
2009,SK,Saskatchewan,5.1,527.1,70.6,9.9,4.2
2010,AB,Alberta,6.6,2029.1,73.2,11.0,5.9
2010,BC,British Columbia,7.8,2221.7,65.8,13.9,7.1
2010,CA,Canada,8.2,16978.2,67.1,14.6,7.1
2010,MB,Manitoba,5.4,610.2,69.5,11.0,4.4
2010,NB,New Brunswick,9.4,359.4,64.2,16.0,7.8
2010,NL,Newfoundland and Labrador,14.9,224.5,60.3,21.4,12.9
2010,NS,Nova Scotia,9.6,452.5,64.5,16.0,8.6
2010,ON,Ontario,8.8,6547.4,67.0,16.9,7.4
2010,PE,Prince Edward Island,11.5,70.1,68.0,15.9,10.2
2010,QC,Quebec,8.2,3928.1,65.3,13.8,7.2
2010,SK,Saskatchewan,5.3,535.1,70.6,9.5,4.6
2011,AB,Alberta,5.6,2101.1,73.8,10.7,4.5
2011,BC,British Columbia,7.6,2229.7,65.2,13.8,6.7
2011,CA,Canada,7.7,17219.6,66.8,14.0,6.5
2011,MB,Manitoba,5.5,615.5,69.3,11.5,4.5
2011,NB,New Brunswick,9.6,356.4,63.5,17.1,7.9
2011,NL,Newfoundland and Labrador,13.1,232.8,60.8,20.5,10.8
2011,NS,Nova Scotia,9.0,456.0,64.3,16.3,7.6
2011,ON,Ontario,8.0,6647.6,66.7,15.6,6.8
2011,PE,Prince Edward Island,11.2,72.2,68.6,14.0,10.4
2011,QC,Quebec,8.0,3967.4,65.1,13.2,6.9
2011,SK,Saskatchewan,5.0,540.9,70.0,10.0,4.1
2012,AB,Alberta,4.7,2166.1,73.7,8.6,3.9
2012,BC,British Columbia,6.9,2283.6,65.3,13.0,5.8
2012,CA,Canada,7.4,17431.6,66.7,14.0,6.2
2012,MB,Manitoba,5.4,620.7,68.9,10.9,4.4
2012,NB,New Brunswick,10.5,354.4,63.5,17.8,8.9
2012,NL,Newfoundland and Labrador,12.7,240.0,62.1,18.3,10.9
2012,NS,Nova Scotia,9.3,457.3,64.6,17.8,7.8
2012,ON,Ontario,8.0,6685.4,66.2,16.7,6.6
2012,PE,Prince Edward Island,11.2,73.0,69.0,17.6,9.0
