year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
1987,MB,Manitoba,7.5,505.2,66.7,11.7,6.3
1987,NB,New Brunswick,13.2,280.3,58.5,20.0,11.7
1987,NL,Newfoundland and Labrador,17.8,190.3,54.2,28.1,15.1
1987,NS,Nova Scotia,12.0,359.0,60.0,18.3,10.5
1987,ON,Ontario,6.1,4895.6,69.1,9.5,5.2
1987,PE,Prince Edward Island,12.3,53.4,63.2,16.8,11.4
1987,QC,Quebec,10.2,3022.1,63.6,14.3,9.2
1987,SK,Saskatchewan,7.3,461.9,66.3,12.2,6.4
1988,AB,Alberta,8.0,1222.3,72.7,12.3,6.9
1988,BC,British Columbia,10.3,1434.6,66.1,14.7,9.1
1988,CA,Canada,7.8,12709.6,66.8,11.5,6.9
1988,MB,Manitoba,7.7,506.3,66.8,12.4,6.7
1988,NB,New Brunswick,11.8,291.0,59.2,18.1,10.2
1988,NL,Newfoundland and Labrador,16.2,199.7,55.3,25.2,13.8
1988,NS,Nova Scotia,10.2,373.7,60.7,15.6,9.0
1988,ON,Ontario,5.0,5083.1,69.6,7.9,4.3
1988,PE,Prince Edward Island,12.2,54.6,64.2,15.8,11.9
1988,QC,Quebec,9.5,3081.4,63.8,13.0,8.8
1988,SK,Saskatchewan,7.3,462.8,66.7,12.7,6.2
1989,AB,Alberta,7.2,1251.3,72.7,10.3,6.5
1989,BC,British Columbia,9.1,1508.3,67.0,12.6,8.1
1989,CA,Canada,7.5,12996.2,67.3,10.9,6.8
1989,MB,Manitoba,7.5,512.7,67.4,11.6,6.5
1989,NB,New Brunswick,12.1,296.8,60.0,18.1,10.5
1989,NL,Newfoundland and Labrador,15.5,206.3,56.0,23.7,13.5
1989,NS,Nova Scotia,9.9,381.6,61.3,15.0,8.7
1989,ON,Ontario,5.0,5199.0,70.0,7.7,4.4
1989,PE,Prince Edward Island,13.7,55.0,65.3,18.4,13.0
1989,QC,Quebec,9.6,3128.8,64.2,13.2,8.9
1989,SK,Saskatchewan,7.3,456.4,66.4,11.9,6.7
1990,AB,Alberta,6.9,1276.8,72.5,10.5,6.1
1990,BC,British Columbia,8.4,1559.6,66.9,12.7,7.6
1990,CA,Canada,8.1,13086.4,67.1,12.3,7.3
1990,MB,Manitoba,7.4,513.8,67.3,12.7,6.2
1990,NB,New Brunswick,12.1,300.3,60.0,18.9,10.5
1990,NL,Newfoundland and Labrador,17.0,206.9,56.7,25.1,14.9
1990,NS,Nova Scotia,10.7,385.3,61.9,15.5,9.7
1990,ON,Ontario,6.2,5194.1,69.5,10.0,5.5
1990,PE,Prince Edward Island,14.4,55.1,65.6,18.5,13.9
1990,QC,Quebec,10.4,3140.3,64.2,14.6,9.7
1990,SK,Saskatchewan,7.0,454.2,66.6,11.7,6.2
1991,AB,Alberta,8.2,1284.4,72.6,11.7,7.6
1991,BC,British Columbia,9.9,1577.5,66.9,14.6,8.9
1991,CA,Canada,10.3,12857.4,66.6,15.8,9.2
1991,MB,Manitoba,8.6,506.8,67.0,14.3,7.3
1991,NB,New Brunswick,12.7,295.2,58.8,20.1,11.2
1991,NL,Newfoundland and Labrador,18.0,204.7,56.2,27.8,15.7
1991,NS,Nova Scotia,12.1,380.6,61.6,19.5,10.4
1991,ON,Ontario,9.5,5017.1,68.5,15.1,8.5
1991,PE,Prince Edward Island,16.5,53.4,65.1,20.6,16.0
1991,QC,Quebec,12.1,3084.4,63.6,18.2,11.0
1991,SK,Saskatchewan,7.4,453.3,66.9,13.0,6.3
