ref_year,region_code,gender,age_group,characteristic,value,uom
2020,ON,Total,25 to 54 years,Not in labour force,878.5,Persons in thousands
2020,ON,Total,25 to 54 years,Part-time employment,493.4,Persons in thousands
2020,ON,Total,25 to 54 years,Participation rate,85.1,Percent
2020,ON,Total,25 to 54 years,Population,5886.9,Persons in thousands
2020,ON,Total,25 to 54 years,Proportion employed full-time,89.3,Percent
2020,ON,Total,25 to 54 years,Proportion employed part-time,10.7,Percent
2020,ON,Total,25 to 54 years,Unemployment,397.5,Persons in thousands
2020,ON,Total,25 to 54 years,Unemployment rate,7.9,Percent
2020,PE,Total,15 to 24 years,Employment,11.2,Persons in thousands
2020,PE,Total,15 to 24 years,Employment rate,55.4,Percent
2020,PE,Total,15 to 24 years,Full-time employment,7.3,Persons in thousands
2020,PE,Total,15 to 24 years,Labour force,13.4,Persons in thousands
2020,PE,Total,15 to 24 years,Not in labour force,6.8,Persons in thousands
2020,PE,Total,15 to 24 years,Part-time employment,3.9,Persons in thousands
2020,PE,Total,15 to 24 years,Participation rate,66.3,Percent
2020,PE,Total,15 to 24 years,Population,20.2,Persons in thousands
2020,PE,Total,15 to 24 years,Proportion employed full-time,65.2,Percent
2020,PE,Total,15 to 24 years,Proportion employed part-time,34.8,Percent
2020,PE,Total,15 to 24 years,Unemployment,2.2,Persons in thousands
2020,PE,Total,15 to 24 years,Unemployment rate,16.4,Percent
2020,PE,Total,15 to 64 years,Employment,71.4,Persons in thousands
2020,PE,Total,15 to 64 years,Employment rate,70.4,Percent
2020,PE,Total,15 to 64 years,Full-time employment,61.3,Persons in thousands
2020,PE,Total,15 to 64 years,Labour force,79.8,Persons in thousands
2020,PE,Total,15 to 64 years,Not in labour force,21.6,Persons in thousands
2020,PE,Total,15 to 64 years,Part-time employment,10.1,Persons in thousands
2020,PE,Total,15 to 64 years,Participation rate,78.7,Percent
2020,PE,Total,15 to 64 years,Population,101.4,Persons in thousands
2020,PE,Total,15 to 64 years,Proportion employed full-time,85.9,Percent
2020,PE,Total,15 to 64 years,Proportion employed part-time,14.1,Percent
2020,PE,Total,15 to 64 years,Unemployment,8.4,Persons in thousands
2020,PE,Total,15 to 64 years,Unemployment rate,10.5,Percent
2020,PE,Total,15 years and over,Employment,76.2,Persons in thousands
2020,PE,Total,15 years and over,Employment rate,57.8,Percent
2020,PE,Total,15 years and over,Full-time employment,64.6,Persons in thousands
2020,PE,Total,15 years and over,Labour force,85.3,Persons in thousands
2020,PE,Total,15 years and over,Not in labour force,46.6,Persons in thousands
